"IsTest"|"Emulator_NormalizedName"|"Name"
"FALSE"|"RETROARCH"|"Nintendo - NES / Famicom (FCEUmm)"
"FALSE"|"RETROARCH"|"Nintendo - NES / Famicom (Mesen)"
"FALSE"|"RETROARCH"|"Nintendo - NES / Famicom (Nestopia)"
"FALSE"|"RETROARCH"|"Nintendo - NES / Famicom (QuickNES)"
